rescue_ref	sha	already_on_live_origin
harvest/rescue-102-localrefs-13-repo	88d7f5fd62bf1d2689796b4d01b01402a4cd4c5c	NO
harvest/rescue-102-localrefs-14-main	299308be1fd35972d0d08813f6f9b423d4432bdd	NO
harvest/rescue-102-localrefs-15-vibe-ic	95b891ea322870988041dcc8a6c754f56a8c7ad0	NO
harvest/rescue-102-localrefs-16-_wf_ae_a-control-that-collected-nothing	3506299fbbc99027bc4b091aa867bd5555abc49f	NO
harvest/rescue-102-localrefs-17-_wf_ae_a-control-that-collected-nothing_866v	08022ebe3a0d6401df54c4fcf8a045dd456ab5b0	NO
harvest/rescue-102-localrefs-18-_wf_ae_a-stated-justification-must-be-checkable	863ced77c4cc60ace040e3b6ade7776c20ccd28a	NO
harvest/rescue-102-localrefs-19-_wf_ae_a-stated-justification-must-be-checkable_v871	3693f5ae4ceae6ad9f8f62bef0f35339f78941ce	NO
harvest/rescue-102-localrefs-2-marketplace-upgrade-WiJcVG	38dc631a8c9638b94ff163e9308ba7929d12ad28	NO
harvest/rescue-102-localrefs-20-_wf_ae_sweep-must-reach-the-firing-path	077abc62b258db1c6bec77e86f595d596421b270	NO
harvest/rescue-102-localrefs-21-_wf_ae_sweep-must-reach-the-firing-path_865v	582912cff771a11cbc5d6423b151ba24161d54ed	NO
harvest/rescue-102-localrefs-22-_wf_ae_the-direction-must-be-pinned	d5d1b3d3e84ca3316b413a3c5fcdd2aa9b2b9fe4	NO
harvest/rescue-102-localrefs-23-_wf_ae_the-direction-must-be-pinned_v870	48d61d15354b9564e404b85d9a8ac4ddb75803fc	NO
harvest/rescue-102-localrefs-24-alt	d6db6130c27af122ecaa751cc0231a9aa6ffdb52	NO
harvest/rescue-102-localrefs-25-fixprobe	5e38c8696efa4bfedd31a39f320e9aa06aa90758	NO
harvest/rescue-102-localrefs-26-mut	79e48a50aee2cf2a1e07d76881ed7c35b656fb86	NO
harvest/rescue-102-localrefs-27-repo	a969b478f0e06e7ae07ed7e8cf3c12e28be4a607	NO
harvest/rescue-102-localrefs-28-verify_main	803869f401a5e01ec1e0d73920529ad34dbda8ea	NO
harvest/rescue-102-localrefs-29-verify_pr	1178248858813608c289aefe93dbb77d0bbc7fce	NO
harvest/rescue-102-localrefs-3-vibe-ic-marketplace	3adee65d850dbb3e6a6f95dbfd4141d09c99e104	NO
harvest/rescue-102-localrefs-30-repo	a0dc18b30560ce938f4651412a98bb4abf15e9a6	NO
harvest/rescue-102-localrefs-31-verify	78218769703455912059ba21450edd552bec3b01	NO
harvest/rescue-102-localrefs-32-repo	b8f40b2388452c88ebb1b86ce6b210cb6d4c137a	NO
harvest/rescue-102-localrefs-33-repo	6b8e0af2ec81156b2341955a5e1324687e76d516	NO
harvest/rescue-102-localrefs-34-vibe-ic	069b5ed9c538511e48670a04b928830ade704381	NO
harvest/rescue-102-localrefs-35-_wf_cap_detector-must-not-name-the-design	c400033526025188ae4d68b389644d78028446d6	NO
harvest/rescue-102-localrefs-36-main_clone	2190ea22d3fe276c740978d084ea1bedaa086270	NO
harvest/rescue-102-localrefs-37-pr_clone	e1461c87e44f2860a9a95365621394b1ae94df64	NO
harvest/rescue-102-localrefs-38-repo	e2ceec9780c5d1494ad8843fb42b980d7199d722	NO
harvest/rescue-102-localrefs-39-fresh	da58751a14c7fcc81f558cfb8675433c55075ff4	NO
harvest/rescue-102-localrefs-4-repo	0caca27bfacb9c6409d1cd6ed89048c4761d01f7	NO
harvest/rescue-102-localrefs-40-repo	9a01c98f72974147dc30e9a97f7e00e10696d724	NO
harvest/rescue-102-localrefs-41-repo	84730809f882100a481bc8a87deb5ad84379ce80	NO
harvest/rescue-102-localrefs-42-repo	27f82d73f9485d19d0d6c22f1b53fe80a67c601e	NO
harvest/rescue-102-localrefs-43-repo	d65226abda78bc9ac9291631a702e6eab050b74d	NO
harvest/rescue-102-localrefs-44-repo	4d6e234d71038392d593ccb2e5762923f04d90d7	NO
harvest/rescue-102-localrefs-45-repo	95c1661930c9e3e8fa587706b472be747035d659	NO
harvest/rescue-102-localrefs-46-repo	92a1ded69dead6785413ebc3e69793146dc52c7c	NO
harvest/rescue-102-localrefs-47-actv	07281d1bda46a9563e3fc82100a9c602e2655dcb	NO
harvest/rescue-102-localrefs-48-alt	cf4efe807e00a327ae0ffd56e85e9eec8fe1ac68	NO
harvest/rescue-102-localrefs-49-alt2	5e9d44a367e4d68203bcc5829932cffe217cfa6d	NO
harvest/rescue-102-localrefs-5-_impl_layer-demand-zero-needs-evidence	c90964558270a45dfc82e58e9c8e8b468c7451fc	NO
harvest/rescue-102-localrefs-50-v1	9c20a75efc346358c8e059f1078a2b04d763eda3	NO
harvest/rescue-102-localrefs-51-v2	f0debf351b160fc5f8bfd63f444cca2236d3ea97	NO
harvest/rescue-102-localrefs-52-v3	ae05591dcc226be426d5c1f8cb760029e1c532d0	NO
harvest/rescue-102-localrefs-53-v4	5e6e9f486edf4330bcff7edf8e080a5803a96999	NO
harvest/rescue-102-localrefs-54-adj	cc1bfb7a2c6ab0d073b0eebad0afa225e2a8b960	NO
harvest/rescue-102-localrefs-55-vibe-ic-repo	5473060dbd1a7ecf94c50eded98da7495c869186	NO
harvest/rescue-102-localrefs-56-wt1703	4d5144a34086b326cd59a849b12b59a7b5f90880	NO
harvest/rescue-102-localrefs-57-land	ee3abbd77137000b9dca2a0ee57382e16c7bfe2b	NO
harvest/rescue-102-localrefs-58-vi1645	d6bb23e5053513b27210589ca90cb8fbc3a05181	NO
harvest/rescue-102-localrefs-59-repo	7e10b2d564d4e1fe958d9fe36e5a9f0e417092eb	NO
harvest/rescue-102-localrefs-6-_impl_p0-umbrella-verdict-coverage	2cfeddf5e90eac97b20577ff9349e2612fc43e19	NO
harvest/rescue-102-localrefs-60-wt1700	43401e95255057dab08268f4f414a7045ae9c0ff	NO
harvest/rescue-102-localrefs-7-_impl_p0-uninvoked-gate-smoke	f45bea2c1f97644d1bcaf249e4779231c98c10f4	NO
harvest/rescue-102-localrefs-8-_impl_pdk-provenance-from-load-path	c74f9b7334230e4953abcfb7b07027b6d9a73fd6	NO
harvest/rescue-102-localrefs-9-repo	6bddece1f3dd2a4ea8a3c405529336a3a0d7b670	NO
harvest/rescue-102-stale-remote-vibe-ic	79768640f9a7b6c47796e4715e659a8242317863	NO
harvest/rescue-102-stashes-1-repo	542c252038a98fd4625e4a48e42a6881f4b94a07	NO
harvest/rescue-102-stashes-2-repo	fff7cca2c9a137f857db3328dfc74bc0f64bb3c8	NO
harvest/rescue-102-stashes-4-fresh	9678c387c587aee79934fcf7c1a822321c165fe4	NO
harvest/rescue-102-stashes-5-repo	a6aaa2117489e5b5d7efa51790b9f4f3aea1bb54	NO
harvest/rescue-112-branchreflog-vibe-ic	773d5c3ad90f9c392d99070f884a5ec883e9e762	NO
