host	path	repo	head	branch	kind	prior_verdict	notes
105	/home/reyerchu/_jrc	/home/reyerchu/vibe-ic	a7f17ab477511fffb737a2c727c2d80ef914ddd3	refs/heads/jrc/ppa-layer-rc-contract	NEW		never judged
105	/home/reyerchu/vibe-ic-wt-approachA-a857c45b	/home/reyerchu/vibe-ic-repo	eae80aba9c3839b0a0bf05b2005170f72c463a98	refs/heads/fix/phase3-msetup-repair-approachA-a857c45b	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1433 nadd=1433 ndel=19075 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-hmpg-supply-p1p3	/home/reyerchu/vibe-ic-repo	e52900fd132e0d2119a89924278dff5e3f27b545	refs/heads/fix/hardmacro-supply-p1p3-block	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3153 nadd=3153 ndel=19680 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-ibex-cpu-regmap-nA	/home/reyerchu/vibe-ic-repo	2c319e98c0df7429ea8313342d52a8f16f1eca3e	refs/heads/fix-bitlevel-cpu-regmap-nA	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=36 nadd=36 ndel=472 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-macro-globalconnect	/home/reyerchu/vibe-ic-repo	291e7ed0b885523c70c6c64aa8af0e53b8b258c0	refs/heads/fix/hardmacro-supply-globalconnect	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1523 nadd=1523 ndel=19549 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-lec-container-timeout	/home/reyerchu/vibe-ic-repo	37f7ea2075bd80727530ed8bd749f4a56d4cd9e8	refs/heads/fix-lec-container-timeout-marker	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=30 nadd=30 ndel=848 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-lint-xor-fold-memberkey	/home/reyerchu/vibe-ic-repo	8a5c2ac08bbb3a9d0abdd70165aa17b0b3c0d9c2	refs/heads/fix-lint-xorfold-memberkey-opentitan	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=62 nadd=62 ndel=1211 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-tdf-netlist-discovery	/home/reyerchu/vibe-ic-repo	de709e2304d7c0f85748c3846b655e17f8afa7ca	refs/heads/fix-tdf-netlist-discovery	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=48 nadd=48 ndel=413 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-routeconv-grt273-plateau	/home/reyerchu/vibe-ic-repo	e01949bb5c4a49c4403ea5c837a098a3262eda7c	refs/heads/fix/route-converge-grt273-plateau	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2898 nadd=2898 ndel=18122 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-sha256-regmap-defer	/home/reyerchu/vibe-ic-repo	9194cab7093711c4485dbd9ab0b56fe39509a2de	refs/heads/fix/bitlevel-fullstack-crypto-oracle-defer	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=36 nadd=36 ndel=268 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-sha256-spef	/home/reyerchu/vibe-ic-repo	d90b6bb0abb1bd0f634eecfb8dbcb79bad9ff7bf	refs/heads/fix/postroute-real-spef-repair	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1530 nadd=1530 ndel=19941 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-sha256-synthdontuse	/home/reyerchu/vibe-ic-wt-a857c45b-gconn	c5f24801faf3cbb9c30e1b60656177a81a530905	refs/heads/fix/synth-dont-use-timing-driven-abc	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1485 nadd=1485 ndel=19904 rule=R2 issue=
105	/home/reyerchu/vibe-ic-wt-sha256-tdp	/home/reyerchu/vibe-ic-repo	735704b85d3e3de7f65dfe32bd546add1c5bb8f9	refs/heads/fix/phase3-timing-driven-placement	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1435 nadd=1435 ndel=19125 rule=R2 issue=
105	/home/reyerchu/wt-capture-imagepin	/home/reyerchu/vibe-ic-repo	bf2a761c34a8fb6a52efed840523e8fc0d269aef	refs/heads/capture/container-image-pin-unverified	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=5 nadd=5 ndel=123 rule=R2 issue=
105	/home/reyerchu/_wt_synthfe	/home/reyerchu/vibe-ic-repo	50aedbdde27bf8ff5447d0ed6354424f275b5e78	refs/heads/fix/synth-frontend-misattribution	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=918
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/88b1189e-b41f-4ef2-821e-c21282fc805b/scratchpad/wt-jrecords	/home/reyerchu/vibe-ic	83672ba696776e9387a8a613e955e7713b584fbc	refs/heads/jrecords/record-shape-reconcile	NEW		never judged
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/c4dc4062-1bea-4944-bf44-566bb9f3e106/scratchpad/wt-jcap-ppa	/home/reyerchu/vibe-ic	6a9f5553bdf594aa32dd1af826ff244dcb97d357	refs/heads/jcap-ppa	NEW		never judged
105	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_0	/home/reyerchu/vibe-ic-shard	9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3 nadd=3 ndel=4 rule=R2 issue=
